Group,A,B,C,D*,D4,D5,E,F,G
Austronesian_Taiwan,0.005555556,0.305555556,0,0,0.005555556,0.061111111,0.116666667,0.261111111,0
Han_Gansu,0.177777778,0,0,0.133333333,0.066666667,0,0,0.111111111,0.066666667
Han_Jilin,0.137254902,0.058823529,0.078431373,0.196078431,0.058823529,0.098039216,0,0.137254902,0.039215686
Han_Liaoning_1,0.058823529,0.176470588,0.019607843,0.098039216,0.078431373,0.058823529,0,0.058823529,0.078431373
Han_Neimeng,0.044444444,0.111111111,0.088888889,0.088888889,0.133333333,0.022222222,0,0.111111111,0.022222222
Han_Qinghai,0.090909091,0.045454545,0.045454545,0.113636364,0.159090909,0.068181818,0,0.045454545,0.045454545
Han_Shandong_1,0.04,0.12,0,0.12,0.14,0.1,0,0.12,0.06
Han_Shaanxi_2,0.075471698,0.094339623,0.018867925,0.169811321,0.075471698,0.037735849,0,0.188679245,0.037735849
Han_Xinjiang,0.106382979,0.085106383,0.063829787,0.14893617,0.042553191,0.063829787,0,0.191489362,0.021276596
Han_Taiwan,0.064516129,0.167741935,0.032258065,0.122580645,0.038709677,0.090322581,0,0.122580645,0.032258065
Han_Anhui,0.119047619,0.214285714,0,0.071428571,0.047619048,0.071428571,0,0.142857143,0.095238095
Han_Fujian,0,0.148148148,0.037037037,0.092592593,0.037037037,0.037037037,0,0.240740741,0.018518519
Han_Guangdong_1,0,0.2,0.033333333,0,0.066666667,0.1,0,0.233333333,0
Han_Guangxi,0.038461538,0.230769231,0.076923077,0.038461538,0.038461538,0.038461538,0,0.192307692,0.076923077
Han_Hubei,0.166666667,0.19047619,0.023809524,0.047619048,0,0.047619048,0,0.166666667,0.023809524
Han_Hunan_1,0.06097561,0.097560976,0.012195122,0.109756098,0.073170732,0.024390244,0,0.073170732,0.073170732
Han_ Jiangsu,0.119402985,0.179104478,0.014925373,0.119402985,0.029850746,0.074626866,0,0.149253731,0
Han_Jiangxi,0,0.347826087,0,0.130434783,0.043478261,0.086956522,0,0.217391304,0.086956522
Han_Sichuan,0.042857143,0.214285714,0.014285714,0.157142857,0.042857143,0.028571429,0,0.114285714,0.071428571
Han_Yunnan_1,0.046511628,0.209302326,0.046511628,0.046511628,0.046511628,0.046511628,0,0.209302326,0
Tibet_Tibetan,0.111111111,0.055555556,0.037037037,0.166666667,0,0,0,0.166666667,0.12962963
